names,fruitful_nonfruitful
﻿کیلے کا درخت,1
آم کا درخت,1
سیب کا درخت,1
نیم کا درخت۔۔,0
چیکو کا درخت,1
ناریل کا درخت,1
املی کا درخت,1
چیری کا درخت,1
بادام کا درخت,1
بیر کا درخت,1
کیکر,0
املتاس,0
ارجن,0
سنبل,0
فراش,0
سکھ چین,0
کچنار,0
کنیر,0
گل چین,0
گلہڑھ,0
توت,0
جند,0
پیپل,0
سفیدہ,0
بوہار,0
مسواک,0
بابل کا درخت,1
آڑو کا درخت,1
انار کا درخت,1
ناشپاتی کا درخت,1
پپیتے کا درخت,1
لیچی کا درخت,1
کٹھل کا درخت,1
بہی کا درخت,1
نارنگی کا درخت,1
انگور کا درخت,1
کھجور کا درخت,1
انناس کا درخت,1
انجیر کا درخت,1
امرود کا درخت,1
الدر,0
رووان,0
سندر,0
بید,0
شفتالو,0
بلوط کا درخت,1
چنار,0
روئی,0
میپل,0
کرمبولا کا درخت,1
بارش کا درخت۔۔,0
لوکاٹ کا درخت,1
سورنجان,0
نروان,0
نرگندی,0
درخت مریم,0
شہتوت کا درخت,1
کروندے کا درخت,1
میگنولیا,0
لیلینڈ صنوبر,0
بارود کا درخت۔۔,0
اخروٹ کا درخت,1
خوبانی کا درخت,1
جامن کا درخت,1
شریفے کا درخت,1
صور کا درخت۔۔,0
گل یاس کا درخت۔۔,0
نرگسیہ,0
چھتری کا درخت۔۔,0
سنگنیم,0
اراکوئی صنوبر,0
بینگن کا جھاڑ,1
لیموں کا درخت,1
کاجو کا درخت,1
جنکگو کا درخت۔۔,0
تیج پات کا درخت۔۔,0
ملخ کا درخت۔۔,0
کوکو درخت,1
خون سیاوشیان,0
کینو کا درخت,1
پیلو کا درخت۔۔,0
چکوترے کا درخت,1
ٹماٹر کا درخت,1
آلوچے کا درخت,1
برگد درخت۔۔,0
گھیکوار گوندل,0
آملا کا درخت,1
مہوگنی,0
سل,0
ڈاٹ کا درخت۔۔,0
ہلدی کا درخت,1
جائفل کا درخت,1
الائچی کا جھاڑ,1
نازبو,0
مرزن جوش,0
تارگن,0
کھیرے کا درخت,1
ساگون کا درخت۔۔,0
دیودار,0
فندق کا درخت,1
شہفنی درخت۔۔,0
شمشاد,0
لارچ,0
سپاری کا درخت,0
مخروط درخت,1
چمرنگ,0
دار چینی کا درخت,0
لیبرنم,0
مہوا,0
صندل کا درخت,0
شیشم کا درخت,0
مہندی کا درخت,0
